"Gene_Id","padj","logFC","Regulation"
"207719_x_at",0.004787,1.0774047,"Upregulated"
"239964_at",0.004787,-2.0618453,"Downregulated"
"212593_s_at",0.004787,-1.2020579,"Downregulated"
"207175_at",0.004787,-3.440471,"Downregulated"
"206292_s_at",0.004787,-3.3252571,"Downregulated"
"205295_at",0.004787,-3.3539361,"Downregulated"
"206324_s_at",0.004787,-1.7021772,"Downregulated"
"223327_x_at",0.004787,-1.1084927,"Downregulated"
"219773_at",0.004787,3.5235717,"Upregulated"
"1555522_s_at",0.004787,1.0494522,"Upregulated"
"230895_at",0.004787,-3.1604726,"Downregulated"
"221510_s_at",0.004787,1.1241911,"Upregulated"
"203083_at",0.004787,3.6138315,"Upregulated"
"204416_x_at",0.004787,2.5084573,"Upregulated"
"237411_at",0.004787,1.515555,"Upregulated"
"225799_at",0.004814,1.2833652,"Upregulated"
"206160_at",0.004857,-2.8973238,"Downregulated"
"211689_s_at",0.004882,-2.0137834,"Downregulated"
"227969_at",0.004883,-1.835941,"Downregulated"
"229459_at",0.004883,2.5620202,"Upregulated"
"201105_at",0.004883,1.2622536,"Upregulated"
"230585_at",0.004883,-3.4536726,"Downregulated"
"1553956_at",0.004883,1.1443985,"Upregulated"
"220191_at",0.004883,-8.9911571,"Downregulated"
"220125_at",0.004883,-2.0206673,"Downregulated"
"220589_s_at",0.005008,-1.0519191,"Downregulated"
"205401_at",0.005025,1.123912,"Upregulated"
"205464_at",0.005026,-3.1638977,"Downregulated"
"220723_s_at",0.005038,-5.2840292,"Downregulated"
"213553_x_at",0.005038,1.8255071,"Upregulated"
"223194_s_at",0.005108,-1.5485598,"Downregulated"
"222901_s_at",0.005108,-3.6170683,"Downregulated"
"202238_s_at",0.005108,1.7361175,"Upregulated"
"201701_s_at",0.005108,-1.0269665,"Downregulated"
"237220_at",0.00511,-3.5531688,"Downregulated"
"209012_at",0.00511,1.0112246,"Upregulated"
"209699_x_at",0.005124,-3.2292147,"Downregulated"
"226553_at",0.005124,-2.0343327,"Downregulated"
"230285_at",0.005184,-1.2016122,"Downregulated"
"201036_s_at",0.005194,-1.0526038,"Downregulated"
"207820_at",0.005194,-2.1455512,"Downregulated"
"235299_at",0.005194,-1.5501389,"Downregulated"
"210797_s_at",0.005194,-1.2839339,"Downregulated"
"209570_s_at",0.005194,-1.1093174,"Downregulated"
"201163_s_at",0.005198,1.0663493,"Upregulated"
"210068_s_at",0.00523,-4.7956692,"Downregulated"
"201617_x_at",0.005249,1.5858584,"Upregulated"
"227861_at",0.00526,-1.4860991,"Downregulated"
"1566440_at",0.00526,-1.4928595,"Downregulated"
"221872_at",0.00526,2.0707755,"Upregulated"
"1560281_a_at",0.005308,-2.5992343,"Downregulated"
"236227_at",0.005308,-1.2995029,"Downregulated"
"234709_at",0.005308,-3.7950006,"Downregulated"
"239873_at",0.005351,-2.7603096,"Downregulated"
"211161_s_at",0.005375,1.611439,"Upregulated"
"211806_s_at",0.005375,-2.1293998,"Downregulated"
"205161_s_at",0.005375,-1.1475415,"Downregulated"
"220030_at",0.005375,-2.4009316,"Downregulated"
"219803_at",0.005417,-3.0087351,"Downregulated"
"218599_at",0.005417,-1.3891153,"Downregulated"
"227721_at",0.005417,-1.0664517,"Downregulated"
"235638_at",0.005427,-2.3188881,"Downregulated"
"1562945_at",0.005427,-1.6313915,"Downregulated"
"211980_at",0.005469,1.5265119,"Upregulated"
"213878_at",0.005512,-1.1416054,"Downregulated"
"225458_at",0.00552,-2.4816269,"Downregulated"
"204114_at",0.00552,2.2788435,"Upregulated"
"216092_s_at",0.00552,-1.3672036,"Downregulated"
"210906_x_at",0.00552,-3.7580131,"Downregulated"
"231374_at",0.005523,2.2974636,"Upregulated"
"211456_x_at",0.005523,-2.0277771,"Downregulated"
"218854_at",0.005523,1.2954947,"Upregulated"
"212185_x_at",0.005523,-1.5517138,"Downregulated"
"1555841_at",0.005523,1.0371324,"Upregulated"
"211981_at",0.00556,2.0214329,"Upregulated"
"206212_at",0.00556,-3.9419984,"Downregulated"
"207067_s_at",0.00556,-2.5066087,"Downregulated"
"202701_at",0.00556,1.1617188,"Upregulated"
"201430_s_at",0.00556,1.9677092,"Upregulated"
"1564074_at",0.00556,-2.2923642,"Downregulated"
"225285_at",0.00556,1.8231102,"Upregulated"
"230100_x_at",0.005574,-1.02804,"Downregulated"
"205462_s_at",0.005586,-1.2940895,"Downregulated"
"205856_at",0.005604,-1.6154127,"Downregulated"
"230788_at",0.005604,-1.8891956,"Downregulated"
"1555173_at",0.005604,-2.0997682,"Downregulated"
"1566486_at",0.005604,-2.379805,"Downregulated"
"229239_x_at",0.005604,-1.577898,"Downregulated"
"209191_at",0.005604,1.4284034,"Upregulated"
"202731_at",0.005604,-1.3763139,"Downregulated"
"233340_at",0.005604,-2.4644049,"Downregulated"
"240294_at",0.005604,-1.5864256,"Downregulated"
"225639_at",0.005685,1.4295438,"Upregulated"
"226770_at",0.005685,-1.3088343,"Downregulated"
"202311_s_at",0.005685,3.0111652,"Upregulated"
"209646_x_at",0.005685,1.4455596,"Upregulated"
"204879_at",0.005685,1.3339107,"Upregulated"
"205524_s_at",0.005685,-2.282848,"Downregulated"
"215258_at",0.005685,-1.785489,"Downregulated"
"219076_s_at",0.00573,-1.5090306,"Downregulated"
"230907_at",0.00573,-1.549382,"Downregulated"
"205623_at",0.005731,-3.9199847,"Downregulated"
"226302_at",0.005739,-1.3615138,"Downregulated"
"1555705_a_at",0.005757,1.2987455,"Upregulated"
"210495_x_at",0.005784,2.1263202,"Upregulated"
"211117_x_at",0.005784,-2.7118397,"Downregulated"
"217014_s_at",0.005784,-1.382934,"Downregulated"
"209360_s_at",0.005784,1.0638659,"Upregulated"
"244545_at",0.005784,-1.1287028,"Downregulated"
"1553796_at",0.005789,-1.9368233,"Downregulated"
"224707_at",0.0058,-1.9453827,"Downregulated"
"243858_at",0.0058,-1.7843449,"Downregulated"
"1561653_at",0.005808,-3.0190239,"Downregulated"
"207714_s_at",0.005823,2.3429657,"Upregulated"
"202752_x_at",0.005823,-1.4289315,"Downregulated"
"226930_at",0.005823,4.216381,"Upregulated"
"239006_at",0.005823,-3.6098369,"Downregulated"
"231069_at",0.005823,-1.1302053,"Downregulated"
"202403_s_at",0.005823,1.4765649,"Upregulated"
"216594_x_at",0.005853,-3.1593833,"Downregulated"
"1560692_at",0.005853,-2.1340189,"Downregulated"
"243039_at",0.005904,-1.3381192,"Downregulated"
"238805_at",0.005911,-1.2797041,"Downregulated"
"213265_at",0.005911,-7.9790466,"Downregulated"
"219087_at",0.005911,2.6340362,"Upregulated"
"221008_s_at",0.005911,-5.1363434,"Downregulated"
"1555854_at",0.005965,-3.773018,"Downregulated"
"242945_at",0.005965,-1.6541173,"Downregulated"
"227249_at",0.005986,1.1252454,"Upregulated"
"212488_at",0.006003,1.6469499,"Upregulated"
"209453_at",0.006003,-1.6215008,"Downregulated"
"204051_s_at",0.006053,3.4940891,"Upregulated"
"201110_s_at",0.006053,1.5622452,"Upregulated"
"1558619_at",0.006053,-2.1141663,"Downregulated"
"240110_at",0.006122,-2.0219058,"Downregulated"
"224733_at",0.006127,1.0293608,"Upregulated"
"214213_x_at",0.006128,-1.0583764,"Downregulated"
"204777_s_at",0.006128,-4.1026149,"Downregulated"
"203236_s_at",0.006128,-1.0170078,"Downregulated"
"229218_at",0.006133,2.1969774,"Upregulated"
"211160_x_at",0.006168,1.4675245,"Upregulated"
"224694_at",0.006168,1.5746333,"Upregulated"
"214651_s_at",0.006178,2.4582846,"Upregulated"
"216673_at",0.006178,-2.0557398,"Downregulated"
"236179_at",0.00618,1.9496544,"Upregulated"
"203769_s_at",0.006206,-1.3273977,"Downregulated"
"1565282_at",0.006245,-2.579427,"Downregulated"
"201614_s_at",0.006263,1.1873157,"Upregulated"
"228503_at",0.006422,-1.7768097,"Downregulated"
"201792_at",0.006439,1.8902135,"Upregulated"
"50965_at",0.006473,-1.7816401,"Downregulated"
"1552910_at",0.006473,-3.1810782,"Downregulated"
"213125_at",0.006473,1.8944706,"Upregulated"
"228993_s_at",0.006473,-1.0617288,"Downregulated"
"205618_at",0.006519,1.3326287,"Upregulated"
"238623_at",0.006534,1.8957303,"Upregulated"
"230117_at",0.006548,-2.9647364,"Downregulated"
"223095_at",0.00656,1.3184071,"Upregulated"
"215658_at",0.006582,-2.8118794,"Downregulated"
"201744_s_at",0.006594,1.1653879,"Upregulated"
"1566485_at",0.006594,-2.1571673,"Downregulated"
"230006_s_at",0.006594,-1.1020577,"Downregulated"
"204241_at",0.006594,-1.1109117,"Downregulated"
"211719_x_at",0.006594,2.1824677,"Upregulated"
"208813_at",0.006594,-1.2584847,"Downregulated"
"229554_at",0.006631,1.5595454,"Upregulated"
"211442_x_at",0.006662,-1.4263904,"Downregulated"
"219257_s_at",0.006662,1.9800806,"Upregulated"
"215076_s_at",0.006693,1.146453,"Upregulated"
"1552518_s_at",0.006711,2.6465904,"Upregulated"
"205112_at",0.006739,-1.6060907,"Downregulated"
"210990_s_at",0.006739,1.9312755,"Upregulated"
"1568981_at",0.006739,-1.0355685,"Downregulated"
"1565701_at",0.006739,-1.0611473,"Downregulated"
"41037_at",0.006772,1.0794868,"Upregulated"
"205206_at",0.006837,2.1219398,"Upregulated"
"205141_at",0.006841,-2.0570028,"Downregulated"
"204326_x_at",0.006853,-1.717194,"Downregulated"
"221122_at",0.006942,-4.0740828,"Downregulated"
