"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"Blank.595",0.138284735587887,6.60682828625266,1.35907829835127,0.181217633565975,0.372175805799354,-5.61554933441164,"Not Significant"
"hsa-let-7d-v2-P",0.185885248786864,7.65981359785303,1.35881350363995,0.181300914951051,0.372191362959328,-5.61589455455126,"Not Significant"
"uc.199+A.1",-0.196630727712716,7.46328251555969,-1.35862747892328,0.181359439731298,0.372191362959328,-5.61613704324716,"Not Significant"
"Blank.1777",0.15077964230911,6.65638113160479,1.35860074578496,0.181367851371139,0.372191362959328,-5.61617188818172,"Not Significant"
"hsa-mir-323-A",0.197106718614296,7.41345392165594,1.3585412115955,0.181386585009774,0.372191362959328,-5.6162494849307,"Not Significant"
"uc.215+A.1",0.194331088326122,7.92932416610324,1.35847652186261,0.181406942629883,0.372191362959328,-5.61633379787508,"Not Significant"
"uc.355+A",0.198649555557568,8.1696033133229,1.35829608262694,0.181463735467845,0.372233303523785,-5.61656895275395,"Not Significant"
"Blank.489",0.143596109330264,6.59907769358952,1.35810693072984,0.181523285259706,0.372280881445903,-5.61681543157424,"Not Significant"
"Hcd653 left.1",-0.135059602180887,6.85341312611933,-1.35775088894735,0.181635416922148,0.372426437728572,-5.61727929489985,"Not Significant"
"mmu-miR-686-A.1",-0.131823663339542,7.10161299076299,-1.35753553099832,0.181703267491661,0.372426437728572,-5.61755981648566,"Not Significant"
"Blank.871",0.132085330487853,6.65543357746868,1.35753521371256,0.181703367469916,0.372426437728572,-5.6175602297466,"Not Significant"
"hsa-mir-601-A",-0.14087699313751,7.87463259047647,-1.35630658513984,0.182090831142458,0.373092519725779,-5.61915984045373,"Not Significant"
"Randomer 3.1",-0.168251732747822,6.7210894803941,-1.35627369472912,0.182101212264594,0.373092519725779,-5.61920264383029,"Not Significant"
"uc.232+",-0.152770897707157,10.1225420250566,-1.35580429750692,0.182249416517982,0.373321469322691,-5.61981341084594,"Not Significant"
"hsa-mir-217-P.1",-0.141084303606061,7.20638835763793,-1.35497506687323,0.182511458361299,0.37373085861237,-5.62089191009328,"Not Significant"
"Blank.150",0.13103935765298,6.57130944082561,1.35489631441441,0.182536359638356,0.37373085861237,-5.62099430428897,"Not Significant"
"mmu-mir-126-3p-A.3",0.269505149121699,9.5699681834656,1.35477574460338,0.182574488481313,0.37373085861237,-5.62115105897372,"Not Significant"
